N,k,v,w,t,Scattering Count,Trials
2,10,2,1,2,63,1000
3,10,2,1,2,22,1000
4,10,2,1,2,4,1000
5,10,2,1,2,1,1000
6,10,2,1,2,0,1000
7,10,2,1,2,0,1000
8,10,2,1,2,0,1000
9,10,2,1,2,0,1000
10,10,2,1,2,0,1000
11,10,2,1,2,0,1000
12,10,2,1,2,0,1000
13,10,2,1,2,0,1000
14,10,2,1,2,0,1000
15,10,2,1,2,0,1000
16,10,2,1,2,0,1000
17,10,2,1,2,0,1000
18,10,2,1,2,0,1000
19,10,2,1,2,0,1000
20,10,2,1,2,0,1000
21,10,2,1,2,0,1000
22,10,2,1,2,0,1000
23,10,2,1,2,0,1000
24,10,2,1,2,0,1000
25,10,2,1,2,0,1000
26,10,2,1,2,0,1000
27,10,2,1,2,0,1000
28,10,2,1,2,0,1000
29,10,2,1,2,0,1000
2,12,2,1,2,61,1000
3,12,2,1,2,12,1000
4,12,2,1,2,2,1000
5,12,2,1,2,1,1000
6,12,2,1,2,0,1000
7,12,2,1,2,0,1000
8,12,2,1,2,0,1000
9,12,2,1,2,0,1000
10,12,2,1,2,0,1000
11,12,2,1,2,0,1000
12,12,2,1,2,0,1000
13,12,2,1,2,0,1000
14,12,2,1,2,0,1000
15,12,2,1,2,0,1000
16,12,2,1,2,0,1000
17,12,2,1,2,0,1000
18,12,2,1,2,0,1000
19,12,2,1,2,0,1000
20,12,2,1,2,0,1000
21,12,2,1,2,0,1000
22,12,2,1,2,0,1000
23,12,2,1,2,0,1000
24,12,2,1,2,0,1000
25,12,2,1,2,0,1000
26,12,2,1,2,0,1000
27,12,2,1,2,0,1000
28,12,2,1,2,0,1000
29,12,2,1,2,0,1000
2,14,2,1,2,44,1000
3,14,2,1,2,10,1000
4,14,2,1,2,1,1000
5,14,2,1,2,3,1000
6,14,2,1,2,0,1000
7,14,2,1,2,0,1000
8,14,2,1,2,0,1000
9,14,2,1,2,0,1000
10,14,2,1,2,0,1000
11,14,2,1,2,0,1000
12,14,2,1,2,0,1000
13,14,2,1,2,0,1000
14,14,2,1,2,0,1000
15,14,2,1,2,0,1000
16,14,2,1,2,0,1000
17,14,2,1,2,0,1000
18,14,2,1,2,0,1000
19,14,2,1,2,0,1000
20,14,2,1,2,0,1000
21,14,2,1,2,0,1000
22,14,2,1,2,0,1000
23,14,2,1,2,0,1000
24,14,2,1,2,0,1000
25,14,2,1,2,0,1000
26,14,2,1,2,0,1000
27,14,2,1,2,0,1000
28,14,2,1,2,0,1000
29,14,2,1,2,0,1000
2,16,2,1,2,36,1000
3,16,2,1,2,5,1000
4,16,2,1,2,0,1000
5,16,2,1,2,0,1000
6,16,2,1,2,0,1000
7,16,2,1,2,0,1000
8,16,2,1,2,0,1000
9,16,2,1,2,0,1000
10,16,2,1,2,0,1000
11,16,2,1,2,0,1000
12,16,2,1,2,0,1000
13,16,2,1,2,0,1000
14,16,2,1,2,0,1000
15,16,2,1,2,0,1000
16,16,2,1,2,0,1000
17,16,2,1,2,0,1000
18,16,2,1,2,0,1000
19,16,2,1,2,0,1000
20,16,2,1,2,0,1000
21,16,2,1,2,0,1000
22,16,2,1,2,0,1000
23,16,2,1,2,0,1000
24,16,2,1,2,0,1000
